"type";"globalUniqueIdentifier";"language";"collectionID";"institutionCode";"collectionCode";"basisOfRecord";"occurrenceID";"catalogNumber";"occurrenceRemarks";"recordNumber";"recordedBy";"eventDate";"year";"month";"day";"fieldNotes";"eventRemarks";"higherGeography";"continent";"country";"countryCode";"stateProvince";"county";"locality";"decimalLatitude";"decimalLongitude";"geodeticDatum";"georeferenceProtocol";"identifiedBy";"dateIdentified";"typeStatus";"taxonID";"scientificName";"acceptedNameUsage";"higherClassification";"kingdom";"phylum";"class";"order";"family";"genus";"specificEpithet";"taxonRank";"scientificNameAuthorship";"taxonomicStatus"
"";"858107";"";"";"JBRJ";"RB";"S";"858107";"599367";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Aldeia São Joaquim, Centro de Memória, Parque Fundo do Segredo. Terra Indígena Huni Kuin do Baixo rio Jordão.";"";"";"";"";"";"";"";"21639";"Aphelandra acrensis Lindau";"Aphelandra acrensis Lindau";"Acanthaceae;Aphelandra;Aphelandra acrensis";"Plantae";"";"";"";"Acanthaceae";"Aphelandra";"";"species";"Lindau";"accepted"
"";"301216397";"";"";"NYBG";"NYBG_BR";"S";"301216397";"472347";"";"";"";"";"1995";"11";"19";"";"";"";"";"";"";"Acre";"";"Basin of Rio Juruá, Rio Tarauacá, right bank, Seringal Sumaré.";"-8.5139";"-71.4639";"";"";"D. C. Wasshausen";"";"";"21639";"Aphelandra acrensis Lindau";"Aphelandra acrensis Lindau";"Acanthaceae;Aphelandra;Aphelandra acrensis";"Plantae";"";"";"";"Acanthaceae";"Aphelandra";"";"species";"Lindau";"accepted"
"";"301216396";"";"";"NYBG";"NYBG_BR";"S";"301216396";"761894";"";"";"";"";"1991";"11";"09";"";"";"";"";"";"";"Acre";"";"Reserva Extrativista Chico Mendes, Seringal Dois Irmaos, varaçao entre colocaçaos Ja-Comeca e Belo Monte (Seringal Palmari), apos o rio Pau Seco.";"-10.75";"-68.33";"";"";"D. C. Wasshausen";"";"";"21639";"Aphelandra acrensis Lindau";"Aphelandra acrensis Lindau";"Acanthaceae;Aphelandra;Aphelandra acrensis";"Plantae";"";"";"";"Acanthaceae";"Aphelandra";"";"species";"Lindau";"accepted"
"Collection";"";"pt";"urn:lsid:biocol.org:col:15528";"JBRJ";"RB";"PRESERVED_SPECIMEN";"urn:catalog:JBRJ:RB:858107";"858107";"";"2843";"Quinet, A.";"2012-12-03T23:00:00.000+0000";"2012";"12";"4";"Erva ciófila de 10 a 20 centímetros de altura com caule rastejante. Folhas discolores verdes, cartáceas. Flores com corola amarela.";"";"";"";"Brazil";"BR";"Acre";"";"Aldeia São Joaquim, Centro de Memória, Parque Fundo do Segredo. Terra Indígena Huni Kuin do Baixo rio Jordão.";"-9.38056";"-71.90028";"WGS84";"";"";"2012-12-03T23:00:00.000+0000";"";"21639";"Aphelandra acrensis Lindau";"Aphelandra acrensis Lindau";"Acanthaceae;Aphelandra;Aphelandra acrensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Acanthaceae";"Aphelandra";"acrensis";"species";"Lindau";"accepted"
"";"";"";"";"MO";"Tropicos";"PRESERVED_SPECIMEN";"urn:occurrence:MO:Tropicos:3461660";"3461660";"";"";"D.C. Daly, M. Silveira, D. Costa et al.";"1995-11-18T23:00:00.000+0000";"1995";"11";"19";"";"";"";"SOUTH_AMERICA";"Brazil";"BR";"Acre";"";"Mun. Tarauacá: Basin of Rio Juruá, Rio Tarauacá, right bank, Seringal Sumaré.";"-8.51";"-71.46";"WGS84";"";"D. Wasshausen,";"";"";"21639";"Aphelandra acrensis Lindau";"Aphelandra acrensis Lindau";"Acanthaceae;Aphelandra;Aphelandra acrensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Acanthaceae";"Aphelandra";"acrensis";"species";"Lindau";"accepted"
"";"";"";"";"NY";"Herbarium";"PRESERVED_SPECIMEN";"urn:occurrence:NY:Herbarium:472347";"472347";"";"";"D. C. Daly";"1995-11-18T23:00:00.000+0000";"1995";"11";"19";"";"";"";"SOUTH_AMERICA";"Brazil";"BR";"Acre";"Tarauacá";"Basin of Rio Juruá, Rio Tarauacá, right bank, Seringal Sumaré.";"-8.514";"-71.464";"WGS84";"";"D. C. Wasshausen";"";"";"21639";"Aphelandra acrensis Lindau";"Aphelandra acrensis Lindau";"Acanthaceae;Aphelandra;Aphelandra acrensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Acanthaceae";"Aphelandra";"acrensis";"species";"Lindau";"accepted"
"";"";"";"";"NY";"Herbarium";"PRESERVED_SPECIMEN";"urn:occurrence:NY:Herbarium:761894";"761894";"";"";"L. Ferreira";"1991-11-08T23:00:00.000+0000";"1991";"11";"9";"";"";"";"SOUTH_AMERICA";"Brazil";"BR";"Acre";"Brasiléia";"Reserva Extrativista Chico Mendes, Seringal Dois Irmaos, varaçao entre colocaçaos Ja-Comeca e Belo Monte (Seringal Palmari), apos o rio Pau Seco.";"-10.8";"-68.3";"WGS84";"";"D. C. Wasshausen";"";"";"21639";"Aphelandra acrensis Lindau";"Aphelandra acrensis Lindau";"Acanthaceae;Aphelandra;Aphelandra acrensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Acanthaceae";"Aphelandra";"acrensis";"species";"Lindau";"accepted"
"";"";"";"";"MO";"Tropicos";"PRESERVED_SPECIMEN";"urn:occurrence:MO:Tropicos:505826";"505826";"";"";"Al Gentry & Camilo Diaz";"1987-06-18T22:00:00.000+0000";"1987";"6";"19";"";"";"";"SOUTH_AMERICA";"Peru";"PE";"Ucayali";"";"Near Perú-Brazil border, Quebrada Sapallal, tributary of Quebrada Shesha, base of Cerro Las Cachoeiras.";"-8.03";"-73.92";"WGS84";"";"D. Wassh., X-97";"";"";"21639";"Aphelandra acrensis Lindau";"Aphelandra acrensis Lindau";"Acanthaceae;Aphelandra;Aphelandra acrensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Acanthaceae";"Aphelandra";"acrensis";"species";"Lindau";"accepted"
"";"";"";"";"F";"Botany";"PRESERVED_SPECIMEN";"urn:occurrence:F:Botany:1162166";"1162166";"";"";"H. E. Stork";"1938-10-27T23:00:00.000+0000";"1938";"10";"28";"";"";"";"SOUTH_AMERICA";"Peru";"PE";"Huánuco";"";"";"-9.5";"-75.8333";"WGS84";"";"D. C. Wasshausen";"";"";"21639";"Aphelandra acrensis Lindau";"Aphelandra acrensis Lindau";"Acanthaceae;Aphelandra;Aphelandra acrensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Acanthaceae";"Aphelandra";"acrensis";"species";"Lindau";"accepted"
"";"";"";"";"UNAPPeru";"UNAPHerbarium";"UNKNOWN";"urn:occurrence:UNAPPeru:UNAPHerbarium:014221";"014221";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"21639";"Aphelandra acrensis Lindau";"Aphelandra acrensis Lindau";"Acanthaceae;Aphelandra;Aphelandra acrensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Acanthaceae";"Aphelandra";"acrensis";"species";"Lindau";"accepted"
"";"";"";"";"K";"Herbarium";"PRESERVED_SPECIMEN";"http://specimens.kew.org/herbarium/K000534437";"K000534437";"Amazonas-Expedition";"9834";"Ule, E.";"";"";"";"";"";"Bl. rosa, [Bltt verschiedenferbig]";"Brazil";"";"Brazil";"BR";"";"";"Rio Acre. Seringal S. Francisco [Sao Francisco]";"";"";"";"label";"Wasshausen, D.C.";"";"ISOSYNTYPE";"21639";"Aphelandra acrensis Lindau";"Aphelandra acrensis Lindau";"Acanthaceae;Aphelandra;Aphelandra acrensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Acanthaceae";"Aphelandra";"acrensis";"species";"Lindau";"accepted"